OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Leng,Shape_Area,FAGI_TOTAL,FAGI_MEDIA,FAGI_TOT_1,FAGI_MED_1,FAGI_TOT_2,FAGI_MED_2,FAGI_TOT_3,FAGI_MED_3,FAGI_TOT_4,FAGI_MED_4,FAGI_TOT_5,FAGI_MED_5
1,003400,11001003400,4347,4152,576,3392,20,97,3,64,157,66,45,8,239,528,3295,8,90,3,16,143,61,40,5,3997,538,3129,15,86,3,53,140,59,40,8,200,500,3043,8,79,3,14,129,55,35,5,1347,1025,322,266.264200589999973,0.416037820000000,4800.865938637453837,1077532.996600870275870,53344073.000000000000000,39287.000000000000000,75037699.000000000000000,43117.000000000000000,59287920,38099.000000000000000,70436558.000000000000000,40413.000000000000000,79636907.000000000000000,42596.000000000000000,92096567.000000000000000,46152.000000000000000
2,003500,11001003500,3740,3594,626,2681,14,106,0,167,91,26,28,8,371,530,2620,11,106,0,7,70,24,25,7,3398,581,2444,13,104,0,131,85,26,23,8,292,508,2387,10,104,0,7,70,24,20,7,1189,964,225,94.352383209999999,0.147425600000000,2982.473558434312508,381830.550236599287018,46454657.000000000000000,30673.500000000000000,66239783.000000000000000,32859.500000000000000,55914150,30555.500000000000000,60909648.000000000000000,32885.000000000000000,78873551.000000000000000,40450.000000000000000,97549566.000000000000000,44843.000000000000000
3,003600,11001003600,4208,4048,1773,1645,13,161,0,456,58,39,44,11,809,1521,1604,8,158,0,14,49,20,41,9,3680,1691,1378,11,149,0,324,50,31,35,10,616,1473,1346,7,146,0,11,44,19,32,8,2308,1987,321,75.521647970000004,0.118002580000000,2293.465280386086306,305625.267934718285687,110621750.000000000000000,35858.000000000000000,161376203.000000000000000,42788.500000000000000,147954698,40355.000000000000000,153247476.000000000000000,40692.000000000000000,143081526.000000000000000,41616.000000000000000,178040405.000000000000000,46806.000000000000000
4,003700,11001003700,5763,5507,1915,2527,22,212,10,821,134,60,55,15,1514,1490,2405,13,206,7,16,65,34,45,7,4798,1782,1988,17,193,9,605,106,50,49,10,1125,1450,1906,9,188,6,15,55,26,41,7,2570,2401,169,72.231863099999998,0.112862290000000,2297.040643539268785,292311.980827425955795,103905996.000000000000000,32263.000000000000000,162058134.000000000000000,41387.500000000000000,126923023,35705.500000000000000,143596631.000000000000000,38248.000000000000000,140501730.000000000000000,39131.000000000000000,181651966.000000000000000,45690.500000000000000
5,003800,11001003800,4614,4419,2884,825,22,261,1,426,77,37,78,7,935,2456,796,10,257,1,26,59,27,68,3,4177,2726,729,18,240,1,313,53,35,64,6,738,2364,705,8,236,1,22,39,26,55,2,2861,2625,236,87.921651749999995,0.137377580000000,2708.295073802764364,355806.303173665073700,155960140.000000000000000,48799.000000000000000,209040361.000000000000000,54786.000000000000000,196678623,52077.000000000000000,213601983.000000000000000,54908.000000000000000,213544242.000000000000000,56380.000000000000000,235619338.000000000000000,60561.000000000000000
6,003900,11001003900,4474,4304,3285,563,21,225,4,206,88,43,59,3,553,2995,546,13,224,3,21,55,25,57,3,4225,3145,528,20,208,4,181,72,34,49,3,492,2884,511,13,207,3,17,46,24,47,3,2996,2806,190,99.080501179999999,0.154813280000000,3408.080643644377687,400964.564907711814158,155878056.000000000000000,51160.000000000000000,206237963.000000000000000,59470.000000000000000,211741280,56264.500000000000000,215163653.000000000000000,58480.000000000000000,179473697.000000000000000,58736.000000000000000,214640250.000000000000000,63630.000000000000000
7,006500,11001006500,2531,2469,2088,228,13,113,1,26,19,13,32,7,123,1999,222,11,112,1,10,17,9,31,6,2296,1913,212,11,97,1,18,11,8,25,5,102,1837,207,10,96,1,6,9,6,24,4,1543,1320,223,122.570172069999998,0.191515900000000,3386.495881359591749,496023.890978902229108,120078372.000000000000000,76911.000000000000000,138021124.000000000000000,79139.000000000000000,138113790,75279.000000000000000,153834127.000000000000000,75784.000000000000000,137875103.000000000000000,89279.000000000000000,156307500.000000000000000,92684.000000000000000
8,001500,11001001500,5911,5729,4877,643,7,145,2,55,67,34,97,8,304,4642,637,6,144,2,21,62,27,86,8,4371,3609,521,7,119,2,34,33,21,36,5,205,3444,517,6,118,2,15,31,16,30,5,2126,2081,45,1161.050946869999962,1.814142120000000,10650.327087649649911,4698606.508980236947536,505817116.000000000000000,135878.000000000000000,464768292.000000000000000,136868.000000000000000,531571394,140516.000000000000000,611814393.000000000000000,147108.000000000000000,586301676.000000000000000,158383.000000000000000,623341016.000000000000000,165589.000000000000000
9,001600,11001001600,3957,3799,997,2670,8,55,1,68,114,51,45,0,200,930,2621,4,55,0,15,104,45,37,0,3239,801,2255,6,48,1,42,59,41,19,0,136,756,2219,3,48,0,6,57,39,16,0,1685,1620,65,667.006080959999963,1.042197010000000,8627.683622023952921,2699277.858553777914494,239860892.000000000000000,88449.500000000000000,206050056.000000000000000,86508.500000000000000,241106479,84972.000000000000000,253855939.000000000000000,89084.500000000000000,280146313.000000000000000,97830.500000000000000,285179163.000000000000000,99800.500000000000000
10,001702,11001001702,2644,2519,1020,1342,6,79,1,71,94,34,29,2,212,918,1325,5,78,1,8,77,33,25,1,2273,888,1175,5,70,1,55,57,26,18,1,155,815,1162,4,69,1,6,45,25,17,1,1312,1230,82,229.815972619999997,0.359087460000000,4873.125958318270932,930032.250283735920675,85001437.000000000000000,53846.500000000000000,99172867.000000000000000,57746.000000000000000,95489279,53472.500000000000000,101908307.000000000000000,56393.000000000000000,112274193.000000000000000,59101.000000000000000,118391616.000000000000000,59590.000000000000000
11,000100,11001000100,4890,4808,4444,105,9,201,2,47,17,12,47,2,296,4202,101,8,198,2,15,16,10,43,2,4305,3924,93,8,184,2,33,11,12,30,2,257,3711,90,7,181,2,9,10,10,26,2,2999,2686,313,585.846013900000003,0.915384400000000,10028.236285226843393,2370834.717973996419460,551823378.000000000000000,89357.000000000000000,444019426.000000000000000,86101.500000000000000,563927063,88250.000000000000000,806141206.000000000000000,92634.000000000000000,856267279.000000000000000,108308.000000000000000,698565228.000000000000000,110944.500000000000000
12,000201,11001000201,3916,3736,2940,259,7,482,5,43,47,20,117,6,275,2740,249,4,480,5,7,40,16,115,6,3902,2931,259,7,478,5,43,47,20,116,6,272,2734,249,4,476,5,7,40,16,114,6,2,2,0,133.326166610000001,0.208322140000000,3249.765438143140727,539551.856818469590507,65709.000000000000000,12201.500000000000000,627662.000000000000000,23000.000000000000000,,,282896.000000000000000,21739.500000000000000,1389012.000000000000000,5087.000000000000000,1043062.000000000000000,8785.000000000000000
13,000202,11001000202,5425,5294,4705,159,5,375,3,47,33,16,76,7,343,4438,150,3,370,3,12,27,14,68,6,5061,4384,155,4,360,3,43,26,15,65,7,320,4132,146,3,355,3,10,22,14,59,6,2143,1933,210,305.039464280000004,0.476624170000000,6742.459376772281757,1234450.922434970969334,379656242.000000000000000,116867.000000000000000,244019719.000000000000000,95033.500000000000000,365051633,109460.500000000000000,390987146.000000000000000,106470.000000000000000,433631252.000000000000000,114630.000000000000000,429158437.000000000000000,115586.000000000000000
14,000300,11001000300,6233,6076,5497,139,11,352,1,76,48,20,93,9,404,5186,135,10,348,1,10,44,18,89,9,5542,4900,123,9,323,1,71,36,21,60,7,344,4644,121,8,319,1,8,32,16,59,7,2912,2754,158,252.603195809999988,0.394692500000000,4077.691319468202437,1022248.871353996684775,274689743.000000000000000,66914.500000000000000,306388942.000000000000000,58822.000000000000000,356897869,58959.500000000000000,371428724.000000000000000,61936.500000000000000,322647481.000000000000000,73252.000000000000000,358002514.000000000000000,70413.000000000000000
15,000400,11001000400,1455,1428,1247,50,2,103,0,26,9,2,15,1,123,1149,46,1,103,0,12,6,2,15,1,1218,1032,43,2,100,0,23,7,1,10,1,104,949,39,1,100,0,10,5,1,10,1,690,636,54,378.382824369999980,0.591223170000000,5949.909533558943622,1531260.972011119127274,244811632.000000000000000,104934.000000000000000,130390459.000000000000000,110621.000000000000000,224772922,101766.000000000000000,221418072.000000000000000,102512.000000000000000,260450481.000000000000000,130923.500000000000000,296162003.000000000000000,121711.000000000000000
16,000501,11001000501,3376,3267,2853,124,7,249,1,33,32,18,64,3,231,2689,122,3,246,1,4,18,9,60,3,3195,2729,114,5,232,1,28,25,17,47,3,201,2585,112,3,229,1,2,13,9,45,3,2186,2027,159,233.384263750000002,0.364662910000000,6813.633099265326564,944472.612260386114940,157450900.000000000000000,65919.000000000000000,182269099.000000000000000,68973.000000000000000,196513698,64763.500000000000000,210628169.000000000000000,70218.000000000000000,260010497.199999988079071,72707.000000000000000,243419505.000000000000000,76949.500000000000000
17,000902,11001000902,2092,2021,1861,67,4,77,1,11,28,12,40,2,107,1776,63,3,77,1,5,22,9,37,2,1544,1388,50,1,67,1,7,9,8,16,2,71,1327,48,1,67,1,4,7,6,15,2,862,833,29,538.801955189999944,0.841878060000000,8704.287792662948050,2180454.165696435607970,218882503.000000000000000,121032.000000000000000,176273097.000000000000000,113487.000000000000000,226114271,117436.000000000000000,262353665.439999997615814,121474.500000000000000,282158382.000000000000000,142212.000000000000000,318502754.000000000000000,148690.000000000000000
18,001001,11001001001,7436,7168,6342,298,17,432,2,77,74,33,172,9,512,5925,295,9,427,2,22,61,28,164,8,5918,5097,249,14,365,2,65,38,23,71,8,387,4786,248,9,362,2,13,30,19,67,8,2834,2727,107,606.401784359999965,0.947502790000000,6507.906512504414422,2454020.970143166370690,441410751.000000000000000,114136.500000000000000,445020421.000000000000000,105423.500000000000000,482792403,109646.000000000000000,523214776.000000000000000,110482.500000000000000,563657398.000000000000000,128283.000000000000000,567841867.000000000000000,131571.000000000000000
19,001002,11001001002,3442,3329,2788,185,7,311,0,38,35,24,59,6,271,2564,178,5,311,0,9,32,24,56,5,3226,2637,165,7,297,0,33,24,22,44,6,241,2438,159,5,297,0,8,21,20,43,5,2342,2089,253,219.834053439999991,0.343490710000000,3952.278513422604192,889636.856290747411549,119559942.000000000000000,74658.000000000000000,134639759.000000000000000,76705.000000000000000,130340038,74072.000000000000000,142883669.400000005960464,76636.500000000000000,124109798.000000000000000,78338.000000000000000,144272959.000000000000000,79814.500000000000000
20,004001,11001004001,3745,3623,3237,139,5,162,8,72,33,26,60,5,345,2999,133,5,162,3,3,28,26,50,5,3486,3034,131,5,157,6,57,26,25,42,5,289,2825,130,5,157,3,2,23,19,40,5,2489,2305,184,68.162548400000006,0.106503980000000,2361.335361650590585,275844.048415666329674,203836328.000000000000000,72807.000000000000000,230295472.000000000000000,77629.000000000000000,253288626,74273.000000000000000,262839923.000000000000000,78314.500000000000000,242543416.000000000000000,78459.500000000000000,269573000.000000000000000,85301.500000000000000
21,004002,11001004002,2797,2720,2232,226,4,181,1,76,27,14,44,4,250,2088,209,2,179,1,3,22,12,41,4,2654,2135,209,3,170,1,67,24,15,41,3,227,1998,195,2,168,1,3,19,12,39,3,1916,1762,154,48.451481160000000,0.075705440000000,2132.734911504177035,196076.188854500476737,132421749.000000000000000,60460.500000000000000,170535365.000000000000000,65155.000000000000000,168856216,62671.000000000000000,182296727.250000000000000,65831.000000000000000,157938502.000000000000000,66742.000000000000000,181993123.000000000000000,71996.000000000000000
22,004100,11001004100,2708,2646,2261,115,9,181,3,77,29,13,23,1,259,2090,108,4,180,3,14,27,10,20,1,2482,2099,100,9,166,3,67,18,9,15,1,235,1940,94,4,165,3,10,17,8,13,1,1702,1494,208,201.868554789999990,0.315419620000000,3872.498178244049541,816933.062280376558192,403203164.000000000000000,87019.000000000000000,217573711.000000000000000,81283.500000000000000,401781124,85405.000000000000000,450959064.000000000000000,89643.000000000000000,447733061.000000000000000,100196.000000000000000,557382746.000000000000000,100885.000000000000000
23,004201,11001004201,3342,3250,2721,240,5,215,0,69,33,20,41,2,266,2544,236,3,214,0,6,28,17,38,2,3222,2638,220,5,210,0,66,30,19,36,1,251,2473,216,3,209,0,6,25,16,33,1,2259,2113,146,50.535094729999997,0.078961090000000,1842.645782712640766,204508.273887691728305,144465497.000000000000000,59325.000000000000000,195239173.000000000000000,69112.000000000000000,204654008,64162.000000000000000,221028580.000000000000000,67390.000000000000000,192640010.000000000000000,68708.500000000000000,215579124.000000000000000,70930.500000000000000
24,004202,11001004202,2771,2688,2281,129,10,216,3,49,19,12,50,7,215,2133,126,6,214,3,7,16,7,47,6,2691,2228,124,9,201,3,46,19,12,48,7,208,2083,121,6,199,3,6,16,7,45,6,1915,1787,128,51.493813799999998,0.080459080000000,2102.861145550351921,208388.072346607368672,120039686.000000000000000,60675.000000000000000,165982765.000000000000000,67958.000000000000000,163715989,65293.000000000000000,171191044.000000000000000,70077.500000000000000,140618969.000000000000000,65831.000000000000000,168607571.000000000000000,69537.000000000000000
25,004300,11001004300,3255,3164,1849,901,18,157,2,237,38,21,35,4,492,1642,889,12,149,2,6,29,17,32,4,2963,1795,767,13,150,2,159,33,21,29,4,387,1606,756,9,144,2,5,25,17,27,4,2084,1943,141,58.470836079999998,0.091360680000000,2045.425607819441211,236623.079935932386434,107576663.000000000000000,47515.500000000000000,161937053.000000000000000,56174.000000000000000,146211088,52695.000000000000000,158072679.000000000000000,55500.000000000000000,160486937.030000001192093,57442.500000000000000,200919104.000000000000000,65979.000000000000000
26,004400,11001004400,4572,4447,2989,1016,24,260,0,158,45,23,61,5,417,2778,982,18,259,0,15,42,20,57,5,4263,2876,886,21,248,0,129,37,24,49,5,366,2683,854,17,247,0,11,36,20,47,5,2651,2493,158,128.912788320000004,0.201426230000000,2944.721436838211503,521691.548437318007927,231491287.000000000000000,70297.000000000000000,325184107.000000000000000,77519.000000000000000,289136303,73367.000000000000000,327105530.000000000000000,76068.000000000000000,343052931.870000004768372,76726.000000000000000,402398133.000000000000000,82842.500000000000000
27,001100,11001001100,4779,4641,4012,290,9,273,6,51,41,18,88,1,306,3773,290,4,268,3,25,32,9,80,0,3980,3355,260,9,243,6,34,20,11,45,1,242,3162,260,4,238,3,13,18,7,38,0,2234,2118,116,414.253977770000006,0.647271840000000,5698.762331716086919,1676426.380394927458838,361630195.000000000000000,101389.000000000000000,326529055.000000000000000,88358.000000000000000,410155292,97280.000000000000000,460087019.000000000000000,97640.000000000000000,449192481.000000000000000,113046.000000000000000,480166743.000000000000000,114189.500000000000000
28,001200,11001001200,5008,4850,4073,272,18,388,3,96,57,23,76,5,399,3805,263,9,385,3,14,46,22,73,4,4338,3531,239,15,355,3,79,47,21,51,4,350,3293,230,7,352,3,8,38,21,48,3,2633,2516,117,300.997550719999992,0.470308680000000,4907.033191751117556,1218093.878510161302984,284024809.000000000000000,79665.000000000000000,304763968.000000000000000,74166.500000000000000,315822137,74448.000000000000000,334717360.000000000000000,75515.000000000000000,314255746.000000000000000,91068.500000000000000,340349324.000000000000000,89304.000000000000000
29,001301,11001001301,3955,3843,3047,374,7,357,0,58,41,13,67,1,290,2820,367,5,356,0,15,35,12,64,1,3477,2736,317,7,301,0,43,29,15,39,1,252,2534,311,5,301,0,8,25,12,39,1,2156,2030,126,705.111461269999950,1.101736670000000,8777.811293402335650,2853484.862474280875176,271817059.000000000000000,76361.500000000000000,240485097.000000000000000,66620.000000000000000,333803307,67980.000000000000000,363121417.000000000000000,68904.000000000000000,333910086.000000000000000,76494.000000000000000,403703591.000000000000000,76325.000000000000000
30,001302,11001001302,6857,6672,5596,379,13,595,2,87,40,28,122,9,483,5219,371,7,587,2,21,36,25,115,9,6589,5395,359,13,569,2,84,38,28,106,9,459,5038,351,7,561,2,21,34,23,102,9,5375,4795,580,393.418360039999982,0.614716190000000,6378.547809913650781,1592107.626467922236770,319818452.000000000000000,68999.000000000000000,405180643.000000000000000,73585.000000000000000,417821164,69520.000000000000000,443957414.000000000000000,72262.000000000000000,401733884.000000000000000,73354.500000000000000,488935701.000000000000000,75148.000000000000000
31,001401,11001001401,3078,2975,2541,178,5,198,0,53,37,15,55,4,210,2394,176,1,198,0,12,36,14,44,4,2419,1992,162,4,173,0,40,17,14,22,4,160,1873,160,1,173,0,9,16,13,19,4,1478,1415,63,194.781013750000000,0.304345340000000,4033.370294841127361,788250.801150995888747,230011349.000000000000000,91172.500000000000000,207763895.000000000000000,79863.500000000000000,255563544,81219.000000000000000,291619848.000000000000000,85111.000000000000000,294699961.000000000000000,102872.000000000000000,298582687.000000000000000,96830.500000000000000
32,001402,11001001402,2998,2921,2334,356,5,160,0,66,40,13,34,1,232,2182,350,4,159,0,7,36,8,31,1,2446,1881,316,5,141,0,54,25,11,20,1,189,1754,314,4,140,0,5,23,8,18,1,1612,1472,140,221.189281560000012,0.345608250000000,4867.514203981574610,895121.269963101483881,176059601.000000000000000,98926.000000000000000,181523449.000000000000000,102986.000000000000000,186054316,101142.500000000000000,208055809.919999986886978,109684.500000000000000,216714384.000000000000000,120265.000000000000000,226932846.969999998807907,122810.000000000000000
33,000502,11001000502,3189,3095,2720,95,15,192,0,73,26,17,56,1,271,2550,89,5,191,0,9,21,13,52,1,2786,2400,85,9,166,0,60,17,13,37,1,223,2258,80,4,165,0,4,15,10,36,1,1774,1643,131,143.678205609999992,0.224497200000000,4037.961013674427704,581445.072597169433720,248468359.000000000000000,76777.000000000000000,252908312.000000000000000,75829.000000000000000,280426020,76905.000000000000000,324046430.589999973773956,76609.000000000000000,290539572.300000011920929,90718.500000000000000,316766139.160000026226044,89334.000000000000000
34,001803,11001001803,3514,3401,354,2372,7,73,8,587,62,28,14,5,838,190,2340,4,72,8,14,44,27,7,5,2826,277,1988,5,60,5,407,50,25,11,3,581,162,1966,4,59,5,10,36,24,6,3,1612,1543,69,289.174493460000008,0.451835150000000,4709.910531165134671,1170247.662996152183041,69030385.000000000000000,25312.000000000000000,76833849.000000000000000,26235.000000000000000,73783877,25460.000000000000000,85008159.299999997019768,26127.000000000000000,80454542.000000000000000,27382.000000000000000,86187145.000000000000000,27886.500000000000000
35,001804,11001001804,4480,4310,549,2983,20,51,0,707,74,45,18,11,1211,185,2933,8,51,0,22,56,22,17,8,3461,401,2408,15,42,0,471,61,36,10,10,835,153,2368,7,42,0,6,44,21,9,7,1924,1812,112,148.687920380000008,0.232324880000000,3404.953402736568023,601718.669088252005167,90687018.370000004768372,26365.000000000000000,101095037.000000000000000,26535.500000000000000,94000568,27016.000000000000000,101142730.000000000000000,27327.000000000000000,100111583.000000000000000,27144.000000000000000,109529081.000000000000000,28093.500000000000000
36,001901,11001001901,4016,3887,424,3023,31,36,3,370,99,56,19,3,625,285,2965,12,29,3,3,87,46,16,3,3190,342,2460,27,30,3,241,64,43,17,3,421,242,2418,11,27,3,2,59,34,14,3,1603,1503,100,190.041206509999995,0.296939390000000,3629.655442772485458,769069.481664374819957,89722055.500000000000000,36750.000000000000000,96561062.000000000000000,37420.000000000000000,93389146,35486.000000000000000,98715158.000000000000000,38108.000000000000000,110110056.000000000000000,41377.000000000000000,119188692.000000000000000,42401.000000000000000
37,003301,11001003301,3198,3072,959,1998,7,62,4,42,86,38,42,7,125,898,1972,6,62,3,17,80,36,41,7,2828,898,1724,6,61,4,38,64,26,35,7,111,846,1699,6,61,3,15,59,24,35,7,1578,1405,173,108.630218940000006,0.169734720000000,3304.154907195716078,439610.901783089910168,94626938.000000000000000,50955.500000000000000,118997087.000000000000000,52263.000000000000000,109592464,49060.500000000000000,119413477.000000000000000,51581.000000000000000,133621396.000000000000000,60466.000000000000000,152461285.000000000000000,64468.000000000000000
38,003302,11001003302,2134,2054,735,1216,7,41,0,55,57,21,20,0,128,687,1197,7,41,0,2,52,20,19,0,1856,695,1002,7,41,0,51,37,18,17,0,113,654,985,7,41,0,2,34,17,16,0,982,887,95,49.077351710000002,0.076683360000000,1890.785622392161713,198608.997138154401910,59721428.369999997317791,46371.000000000000000,82445643.829999998211861,51120.000000000000000,67070893,46580.500000000000000,76544783.239999994635582,49236.000000000000000,84411059.950000002980232,55925.000000000000000,98091822.000000000000000,61645.000000000000000
39,008804,11001008804,2412,2375,106,2183,7,3,0,76,31,12,12,0,130,68,2167,7,3,0,2,30,12,12,0,1883,87,1706,6,3,0,53,22,11,8,0,87,65,1694,6,3,0,2,21,11,8,0,1396,1096,300,194.505404940000005,0.303914700000000,3936.333064089536947,787135.451864149188623,27927495.000000000000000,24539.000000000000000,32464257.519999999552965,25106.500000000000000,27994707,23754.000000000000000,33989464.000000000000000,23998.500000000000000,36934360.000000000000000,26995.000000000000000,42225948.000000000000000,29627.000000000000000
40,008903,11001008903,2633,2591,48,2493,4,7,0,39,38,20,5,1,67,37,2481,3,7,0,5,31,18,5,1,1992,39,1884,4,7,0,29,25,11,2,1,49,31,1877,3,7,0,3,20,10,2,1,1399,1150,249,74.003848399999995,0.115631010000000,2991.034810333289442,299482.950950930826366,33732629.000000000000000,25168.000000000000000,50045860.000000000000000,29334.000000000000000,34354171,24295.000000000000000,42943277.000000000000000,25774.000000000000000,54736070.000000000000000,30255.000000000000000,61273301.000000000000000,33866.000000000000000
41,008904,11001008904,3309,3249,33,3170,8,10,1,27,59,30,11,2,61,27,3154,8,10,0,0,48,27,8,1,2569,32,2461,8,8,1,20,38,19,6,1,46,26,2448,8,8,0,0,32,17,5,1,1788,1539,249,112.806960300000000,0.176260880000000,3121.439129890488402,456513.574479548260570,31336668.910000000149012,23070.500000000000000,38466036.899999998509884,23445.000000000000000,33444738,23349.500000000000000,35689645.630000002682209,23597.000000000000000,43140351.509999997913837,24356.500000000000000,47867201.000000000000000,26051.000000000000000
42,009000,11001009000,2732,2648,113,2431,6,68,0,30,74,31,19,1,76,100,2412,5,68,0,3,64,31,16,1,2430,104,2170,6,58,0,22,62,30,13,1,57,95,2156,5,58,0,2,54,30,11,1,1646,1553,93,359.719547239999997,0.562061800000000,5394.277842134048115,1455733.368659342871979,56150253.000000000000000,43111.000000000000000,65837807.729999996721745,47746.000000000000000,53740241,41497.000000000000000,61387829.000000000000000,44821.000000000000000,83619685.280000001192093,52520.000000000000000,94751459.000000000000000,57961.000000000000000
43,009102,11001009102,4127,4056,117,3820,11,13,0,95,51,20,9,3,173,95,3784,8,13,0,11,40,19,9,3,3039,107,2795,9,12,0,72,30,15,4,3,113,92,2778,7,12,0,7,27,15,4,3,1854,1662,192,453.503991180000014,0.708599990000000,6339.304691090166671,1835265.550179184647277,60148337.000000000000000,28156.000000000000000,77312944.000000000000000,28794.000000000000000,64202101,27377.000000000000000,74568845.909999996423721,28926.000000000000000,79762070.620000004768372,30721.500000000000000,89120109.760000005364418,31903.000000000000000
